the+beast+of+war+1988,15267,6.7,53,The Beast of War,en,False,"{""Drama"", ""War""}",111,7.021336
mr.+death+the+rise+and+fall+of+fred+a.+leuchter_+jr.+1999,28216,6.3,17,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",en,False,"{""Documentary""}",91,1.157478
the+corruptor+1999,9455,6.1,60,The Corruptor,en,False,"{""Action"", ""Crime"", ""Mystery"", ""Thriller""}",110,9.208831
baby+geniuses+1999,22345,3.3,75,Baby Geniuses,en,False,"{""Science Fiction"", ""Comedy"", ""Family""}",97,7.707344
buddy+buddy+1981,36133,6.2,16,Buddy Buddy,en,False,"{""Comedy""}",96,1.566468
kes+1969,13384,7.6,95,Kes,en,False,"{""Drama""}",110,4.418373
scarface+1932,877,7.5,88,Scarface,en,False,"{""Action"", ""Adventure"", ""Crime"", ""Drama"", ""Thriller""}",90,4.854436
bedrooms+and+hallways+1998,40694,5.9,11,Bedrooms and Hallways,en,False,"{""Comedy"", ""Drama"", ""Romance""}",96,1.016117
la+belle+noiseuse+1991,12627,7.4,25,La Belle Noiseuse,en,False,"{""Drama""}",236,3.257378
the+fly+ii+1989,10344,5.2,159,The Fly II,en,False,"{""Horror"", ""Science Fiction"", ""Thriller""}",105,9.207436
blame+it+on+rio+1984,14347,5.9,49,Blame It on Rio,en,False,"{""Comedy"", ""Romance""}",100,7.643886
saints+and+soldiers+2003,10105,6.6,98,Saints and Soldiers,en,False,"{""Action"", ""Adventure"", ""Drama"", ""History"", ""War""}",90,7.975389
the+imitation+game+2014,205596,8.0,5895,The Imitation Game,en,False,"{""History"", ""Drama"", ""Thriller"", ""War""}",113,31.59594
the+thing+2011,60935,6.0,876,The Thing,en,False,"{""Horror"", ""Science Fiction"", ""Mystery"", ""Thriller""}",103,10.169411
immediate+family+1989,59585,5.8,5,Immediate Family,en,False,"{""Comedy"", ""Drama""}",95,0.60641
ninja+assassin+2009,22832,6.2,384,Ninja Assassin,en,False,"{""Action"", ""Crime"", ""Thriller""}",99,9.163897
foxfire+1996,18555,6.3,30,Foxfire,en,False,"{""Action"", ""Drama"", ""Thriller""}",102,3.186891
beijing+bicycle+2001,12659,6.7,15,Beijing Bicycle,zh,False,"{""Drama""}",113,1.199804
